accuracy_all,accuracy_mean,accuracy_std,average_precision_all,average_precision_mean,average_precision_std,average_recall_all,average_recall_mean,average_recall_std,balanced_accuracy_all,balanced_accuracy_mean,balanced_accuracy_std,features,features_kind,features_name,method,precision_cancer_all,precision_cancer_mean,precision_cancer_std,precision_normal_all,precision_normal_mean,precision_normal_std,recall_cancer_all,recall_cancer_mean,recall_cancer_std,recall_normal_all,recall_normal_mean,recall_normal_std
[0.64285714 0.71428571 0.68095238],0.6793650793650793,0.02918218462039723,[0.64285714 0.71428571 0.68095238],0.6793650793650793,0.02918218462039723,[0.64285714 0.71428571 0.68095238],0.6793650793650793,0.02918218462039723,[0.64426392 0.72326766 0.68161336],0.6830483135653078,0.03226909616201832,['thre=0.0001'],single_th,Th_0,SVM,[0.65642731 0.74084034 0.6958524 ],0.6977066818630288,0.03448640937619595,[0.63862531 0.69646753 0.66725929],0.667450709053171,0.023614376637018306,[0.60451128 0.6731264  0.64891353],0.6421837389140526,0.028413336088022444,[0.68401656 0.77340891 0.71431319],0.723912888216563,0.03712019546908928
[0.78095238 0.76666667 0.74761905],0.765079365079365,0.013654484550861311,[0.78095238 0.76666667 0.74761905],0.765079365079365,0.013654484550861311,[0.78095238 0.76666667 0.74761905],0.765079365079365,0.013654484550861311,[0.78334344 0.78264102 0.74583678],0.7706070785134028,0.01751759463392601,['thre=0.001'],single_th,Th_1,SVM,[0.77396148 0.78505848 0.75855615],0.772525370363572,0.010867081279417018,[0.79945029 0.77649245 0.73222222],0.7693883207373583,0.02790167042377691,[0.80362269 0.76992441 0.73861153],0.770719545522637,0.026546651325604263,[0.76306418 0.79535762 0.75306203],0.7704946115041688,0.01804878294105639
[0.86666667 0.86666667 0.84761905],0.8603174603174604,0.008979133729353056,[0.86666667 0.86666667 0.84761905],0.8603174603174604,0.008979133729353056,[0.86666667 0.86666667 0.84761905],0.8603174603174604,0.008979133729353056,[0.86692121 0.8740772  0.85181756],0.8642719874496247,0.009278527821112164,['thre=0.01'],single_th,Th_2,SVM,[0.88886762 0.8645614  0.84917135],0.8675334581513071,0.016341632290998137,[0.84824769 0.86085702 0.84372616],0.8509436249825265,0.007248796335685423,[0.83754842 0.87664292 0.85721178],0.8571343723522121,0.015960358531796972,[0.896294   0.87151147 0.84642334],0.8714096025470369,0.020359737096763673
[0.84761905 0.88571429 0.86666667],0.8666666666666667,0.015552315827194817,[0.84761905 0.88571429 0.86666667],0.8666666666666667,0.015552315827194817,[0.84761905 0.88571429 0.86666667],0.8666666666666667,0.015552315827194817,[0.85034102 0.88650727 0.87317252],0.8700069382635564,0.01493352219351578,['thre=0.1'],single_th,Th_3,SVM,[0.83533704 0.89752508 0.85015152],0.8610045456704496,0.02652268777405603,[0.87224968 0.87653794 0.88367965],0.8774890891104379,0.004714488738706845,[0.87821827 0.87533573 0.88642105],0.8799916857188137,0.004696085631233046,[0.82246377 0.89767881 0.85992399],0.8600221908082993,0.030706491762297953
[0.75238095 0.7952381  0.7047619 ],0.7507936507936508,0.03695379913277089,[0.75238095 0.7952381  0.7047619 ],0.7507936507936508,0.03695379913277089,[0.75238095 0.7952381  0.7047619 ],0.7507936507936508,0.03695379913277089,[0.75192002 0.80044649 0.71988291],0.7574164718208891,0.033118782784518776,['thre=0.2'],single_th,Th_4,SVM,[0.76162393 0.79462916 0.72611111],0.7607880662484243,0.02797861829318842,[0.76136364 0.79040852 0.71346801],0.7550800570449693,0.03172352400850007,[0.74160401 0.77765141 0.70463534],0.7412969186272232,0.02980947632233223,[0.76223602 0.82324157 0.73513048],0.773536025014555,0.03684795913516307
[0.6952381  0.7        0.73333333],0.7095238095238096,0.016947743257192602,[0.6952381  0.7        0.73333333],0.7095238095238096,0.016947743257192602,[0.6952381  0.7        0.73333333],0.7095238095238096,0.016947743257192602,[0.69440568 0.71062572 0.73796088],0.7143307590255027,0.017973301745829815,['thre=0.3'],single_th,Th_5,SVM,[0.68063995 0.6904287  0.71933977],0.6968028081924075,0.016429466682387883,[0.72931746 0.71897129 0.7569059 ],0.7350648844333055,0.016011106722536028,[0.76135794 0.74694645 0.76253509],0.7569464915291406,0.007087411069634583,[0.62745342 0.67430499 0.71338667],0.6717150265218645,0.03512987315808338
[0.71904762 0.71428571 0.68571429],0.7063492063492065,0.014720029357929739,[0.71904762 0.71428571 0.68571429],0.7063492063492065,0.014720029357929739,[0.71904762 0.71428571 0.68571429],0.7063492063492065,0.014720029357929739,[0.71503007 0.73366275 0.69529513],0.7146626488917175,0.01566566798742621,['thre=0.4'],single_th,Th_6,SVM,[0.71927778 0.7125     0.68717172],0.7063164983164983,0.013817297172081376,[0.72594817 0.75435897 0.69849673],0.7262679586208999,0.022806785955574855,[0.71925268 0.7827398  0.7230614 ],0.7416846275897965,0.029072003892456243,[0.71080745 0.6845857  0.66752886],0.6876406701936383,0.017799976973140157
[0.65714286 0.65238095 0.68095238],0.6634920634920635,0.01249842519684415,[0.65714286 0.65238095 0.68095238],0.6634920634920635,0.01249842519684415,[0.65714286 0.65238095 0.68095238],0.6634920634920635,0.01249842519684415,[0.65426565 0.65563447 0.69166075],0.6671869585290414,0.017314605590311897,['thre=0.5'],single_th,Th_7,SVM,[0.66992067 0.65242518 0.72518182],0.6825092221160333,0.031007911434743456,[0.65416234 0.65831884 0.67461207],0.6623644151638954,0.008825072816907713,[0.62677147 0.65862116 0.63689223],0.6407616231585361,0.013287333501077518,[0.68175983 0.65264777 0.74642927],0.6936122938995467,0.03919271249807421
[0.67142857 0.69047619 0.68095238],0.6809523809523809,0.007776157913597363,[0.67142857 0.69047619 0.68095238],0.6809523809523809,0.007776157913597363,[0.67142857 0.69047619 0.68095238],0.6809523809523809,0.007776157913597363,[0.67284159 0.69325252 0.69770214],0.6879320811224724,0.010824108071050118,['thre=0.6'],single_th,Th_8,SVM,[0.66990299 0.68534156 0.70022222],0.6851555917945742,0.012378471521112287,[0.67953801 0.69829193 0.69675716],0.6915290338553227,0.008502051995440964,[0.67131465 0.72025132 0.69292105],0.6948290075231567,0.02002381286088168,[0.67436853 0.66625371 0.70248322],0.6810351547217882,0.015523687146934315
[0.69047619 0.67142857 0.66190476],0.6746031746031745,0.011878277418329931,[0.69047619 0.67142857 0.66190476],0.6746031746031745,0.011878277418329931,[0.69047619 0.67142857 0.66190476],0.6746031746031745,0.011878277418329931,[0.69162887 0.66012571 0.6607637 ],0.6708394267950847,0.014702666710657524,['thre=0.7'],single_th,Th_9,SVM,[0.68301525 0.67373411 0.65845411],0.6717344869774537,0.010126245033746229,[0.7008453  0.64783333 0.66080542],0.6698280170122275,0.02256283711798471,[0.70710868 0.61367651 0.67317544],0.6646535443446423,0.03861657222608738,[0.67614907 0.7065749  0.64835196],0.6770253092455274,0.02377748908150304
